Input Page, Recognition Accuracy, Ground truth size, OCR output size, # of substitutions, # of insertions, # of deletions
Kan_348_P108, 67.08, 161, 168, 46, 7, 0
Kan_261_P228, 61.26, 222, 211, 69, 3, 14
Kan_217_P091, 89.5, 219, 223, 19, 4, 0
Kan_213_P196, 77.78, 135, 138, 27, 3, 0
Kan_349_P152, 58.85, 226, 233, 82, 9, 2
Kan_213_P045, 63.92, 194, 205, 55, 13, 2
Kan_218_P120, 81.5, 173, 173, 30, 1, 1
Kan_259_P206, 48.47, 163, 180, 67, 17, 0
Kan_348_P020, 81.42, 183, 187, 30, 4, 0
Kan_035_P019, 84.16, 322, 320, 45, 2, 4
Kan_046_P014, 89.27, 205, 207, 20, 2, 0
Kan_179_P055, 72.81, 217, 210, 46, 3, 10
Kan_023_P024, 91.43, 175, 172, 12, 0, 3
Kan_261_P042, 59.71, 139, 143, 52, 4, 0
Kan_347_P187, 72.11, 190, 195, 48, 5, 0
Kan_261_P078, 67.57, 74, 75, 19, 3, 2
Kan_213_P263, 62.5, 216, 228, 69, 12, 0
Kan_261_P011, 63.16, 209, 213, 69, 6, 2
Kan_219_P028, 58.41, 226, 234, 84, 9, 1
Kan_347_P022, 66.82, 220, 224, 63, 7, 3
Kan_166_P005, 78.29, 152, 144, 25, 0, 8
Kan_189_P055, 95.17, 207, 207, 10, 0, 0
Kan_165_P049, 97.33, 225, 225, 6, 0, 0
Kan_212_P006, 86.26, 182, 184, 23, 2, 0
Kan_166_P101, 73.6, 125, 119, 27, 0, 6
Kan_023_P079, 92.62, 149, 150, 10, 1, 0
Kan_212_P172, 79.6, 201, 197, 31, 3, 7
Kan_344_P128, 82.25, 231, 230, 38, 1, 2
Kan_349_P172, 60.61, 231, 232, 76, 8, 7
Kan_347_P287, 56.61, 189, 196, 73, 8, 1
Kan_052_P051, 75.71, 70, 65, 12, 0, 5
Kan_261_P044, 73.06, 219, 221, 53, 4, 2
Kan_219_P197, 56.59, 205, 211, 83, 6, 0
Kan_348_P004, 91.41, 198, 199, 16, 1, 0
Kan_169_P090, 70.74, 311, 343, 59, 32, 0
Kan_166_P108, 77.06, 109, 107, 23, 0, 2
Kan_350_P121, 65.97, 144, 153, 38, 10, 1
Kan_166_P080, 76.72, 116, 113, 24, 0, 3
Kan_212_P083, 79.9, 194, 199, 34, 5, 0
Kan_176_P003, 77.08, 96, 90, 16, 0, 6
Kan_023_P060, 89.31, 159, 164, 12, 5, 0
Kan_347_P226, 76.4, 178, 184, 36, 6, 0
Kan_349_P185, 69.95, 203, 210, 50, 9, 2
Kan_348_P074, 79.05, 210, 221, 33, 11, 0
Kan_348_P140, 69.28, 166, 170, 45, 5, 1
Kan_052_P034, 87.8, 82, 78, 6, 0, 4
Kan_348_P127, 65.43, 162, 170, 44, 10, 2
Kan_212_P007, 83.6, 189, 194, 26, 5, 0
Kan_217_P108, 88.04, 276, 280, 29, 4, 0
Kan_349_P205, 55.35, 215, 225, 78, 14, 4
Kan_202_P039, 80.9, 199, 192, 29, 1, 8
