Input Page, Recognition Accuracy, Ground truth size, OCR output size, # of substitutions, # of insertions, # of deletions
Kan_213_P102, 91.31, 1773, 1817, 52, 73, 29
Kan_166_P098, 96.29, 1024, 1021, 17, 9, 12
Kan_259_P069, 93.76, 1523, 1582, 24, 65, 6
Kan_350_P122, 91.27, 1203, 1251, 43, 55, 7
Kan_216_P087, 98.12, 2870, 2907, 7, 42, 5
Kan_168_P056, 98.54, 2061, 2076, 9, 18, 3
Kan_202_P114, 96.24, 1916, 1963, 17, 51, 4
Kan_218_P098, 92.85, 2404, 2441, 91, 59, 22
Kan_179_P088, 99.07, 1727, 1724, 5, 4, 7
Kan_344_P200, 96.04, 2119, 2133, 48, 25, 11
Kan_218_P021, 97.05, 2575, 2596, 43, 27, 6
Kan_349_P155, 83.85, 1430, 1563, 74, 145, 12
Kan_261_P043, 88.32, 1473, 1504, 129, 37, 6
Kan_261_P300, 87.87, 1756, 1822, 111, 84, 18
Kan_219_P261, 93.44, 1799, 1816, 71, 32, 15
Kan_212_P118, 97.92, 1823, 1834, 19, 15, 4
Kan_219_P177, 93.11, 1828, 1844, 90, 26, 10
Kan_168_P282, 99.21, 2401, 2407, 11, 7, 1
Kan_169_P030, 93.3, 1747, 1775, 43, 51, 23
Kan_166_P121, 96.75, 1047, 1036, 15, 4, 15
Kan_179_P083, 97.97, 1574, 1581, 7, 16, 9
Kan_350_P191, 91.28, 1066, 1095, 40, 41, 12
Kan_348_P108, 93.1, 1363, 1395, 36, 45, 13
Kan_261_P228, 91.56, 1707, 1713, 80, 35, 29
Kan_217_P091, 98.14, 1825, 1846, 11, 22, 1
Kan_213_P196, 95.94, 1132, 1147, 15, 23, 8
Kan_349_P152, 92, 1463, 1486, 70, 35, 12
Kan_213_P045, 93.48, 1642, 1680, 47, 49, 11
Kan_218_P120, 96.69, 1270, 1277, 29, 10, 3
Kan_259_P206, 89.68, 1415, 1487, 50, 84, 12
Kan_348_P020, 95.95, 1680, 1687, 35, 20, 13
Kan_035_P019, 97.72, 2678, 2674, 23, 17, 21
Kan_046_P014, 98.39, 1864, 1880, 12, 17, 1
Kan_179_P055, 95.82, 1482, 1472, 20, 16, 26
Kan_023_P024, 98.43, 1402, 1406, 10, 8, 4
Kan_261_P042, 89.47, 1092, 1122, 63, 41, 11
Kan_347_P187, 92, 1699, 1708, 79, 33, 24
Kan_261_P078, 90.38, 520, 538, 16, 26, 8
Kan_213_P263, 94.3, 1894, 1926, 62, 39, 7
Kan_261_P011, 89.83, 1731, 1784, 103, 63, 10
Kan_219_P028, 91.5, 1858, 1890, 90, 50, 18
Kan_347_P022, 90.28, 1779, 1809, 97, 53, 23
Kan_166_P005, 96.89, 1092, 1095, 17, 10, 7
Kan_189_P055, 99.25, 1733, 1735, 9, 3, 1
Kan_165_P049, 99.45, 1831, 1831, 2, 4, 4
Kan_212_P006, 98.31, 1777, 1786, 19, 10, 1
Kan_166_P101, 96.36, 1070, 1071, 18, 11, 10
Kan_023_P079, 98.74, 1267, 1273, 8, 7, 1
Kan_212_P172, 97.56, 1761, 1765, 25, 11, 7
Kan_344_P128, 97.32, 2093, 2095, 40, 9, 7
Kan_349_P172, 92.72, 1414, 1421, 70, 20, 13
Kan_347_P287, 88.21, 1128, 1123, 78, 25, 30
Kan_052_P051, 96.08, 561, 553, 4, 5, 13
Kan_261_P044, 94.62, 1672, 1692, 44, 33, 13
Kan_219_P197, 91.43, 1808, 1849, 84, 56, 15
Kan_348_P004, 98.71, 1856, 1863, 13, 9, 2
Kan_169_P090, 94.62, 2844, 2876, 81, 52, 20
Kan_166_P108, 97.36, 1061, 1068, 17, 9, 2
Kan_350_P121, 93.22, 1076, 1097, 34, 30, 9
Kan_166_P080, 96.95, 1017, 1012, 18, 4, 9
Kan_212_P083, 97.45, 1762, 1780, 21, 21, 3
Kan_176_P003, 97.49, 758, 749, 4, 3, 12
Kan_023_P060, 97.58, 1363, 1383, 13, 20, 0
Kan_347_P226, 92.54, 1568, 1591, 82, 29, 6
Kan_349_P185, 93.01, 1444, 1440, 57, 20, 24
Kan_348_P074, 96.12, 1751, 1778, 19, 38, 11
Kan_348_P140, 93.9, 1427, 1460, 34, 43, 10
Kan_052_P034, 96.79, 655, 650, 4, 6, 11
Kan_348_P127, 93.14, 1283, 1333, 18, 60, 10
Kan_212_P007, 97.97, 1777, 1789, 20, 14, 2
Kan_217_P108, 98.26, 2363, 2374, 18, 17, 6
Kan_349_P205, 91.85, 1423, 1440, 85, 24, 7
Kan_202_P039, 97.46, 1808, 1810, 8, 20, 18
Kan_217_P024, 97.49, 2906, 2933, 22, 39, 12
Kan_261_P220, 94.23, 1767, 1801, 50, 43, 9
Kan_217_P013, 94.03, 1758, 1781, 64, 32, 9
Kan_202_P109, 92.5, 1760, 1791, 63, 50, 19
Kan_034_P047, 97.6, 1332, 1337, 19, 9, 4
Kan_046_P138, 97.55, 1513, 1511, 15, 10, 12
Kan_212_P231, 97.34, 1768, 1780, 19, 20, 8
Kan_344_P060, 96.54, 2053, 2074, 34, 29, 8
Kan_167_P186, 93.81, 1341, 1363, 33, 36, 14
Kan_344_P305, 97.38, 2025, 2018, 32, 7, 14
Kan_219_P203, 91.42, 1783, 1798, 114, 27, 12
Kan_348_P030, 96.8, 1658, 1665, 28, 16, 9
Kan_213_P036, 96.27, 1849, 1874, 36, 29, 4
Kan_167_P100, 95.99, 1420, 1434, 25, 23, 9
Kan_169_P026, 96.75, 2525, 2579, 14, 61, 7
Kan_344_P217, 96.85, 1621, 1633, 31, 16, 4
Kan_165_P020, 96.8, 344, 344, 3, 4, 4
Kan_165_P074, 99.06, 638, 639, 3, 2, 1
Kan_169_P170, 95.04, 847, 866, 7, 27, 8
Kan_259_P082, 92.54, 1140, 1188, 27, 53, 5
Kan_179_P105, 97.47, 1661, 1656, 13, 12, 17
Kan_179_P102, 97.23, 1553, 1545, 17, 9, 17
Kan_344_P242, 96.3, 1567, 1568, 29, 15, 14
Kan_035_P027, 98.83, 2657, 2657, 11, 10, 10
Kan_167_P179, 94.98, 1515, 1535, 36, 30, 10
Kan_261_P166, 94.03, 1022, 1030, 31, 19, 11
Kan_167_P051, 94.2, 1293, 1320, 34, 34, 7
Kan_344_P130, 96.44, 1882, 1885, 38, 16, 13
Kan_216_P104, 98.06, 2573, 2599, 12, 32, 6
Kan_350_P190, 92.09, 1151, 1193, 37, 48, 6
Kan_347_P164, 96.3, 1731, 1742, 47, 14, 3
Kan_178_P035, 94.89, 1155, 1179, 29, 27, 3
Kan_344_P249, 98.01, 2156, 2155, 20, 11, 12
Kan_035_P124, 96.87, 2495, 2509, 26, 33, 19
Kan_034_P083, 87, 1808, 1819, 192, 27, 16
Kan_213_P083, 93.96, 1938, 1981, 54, 53, 10
Kan_166_P124, 97.27, 951, 954, 13, 8, 5
Kan_214_P078, 98.52, 2157, 2174, 9, 20, 3
Kan_213_P268, 94.17, 1819, 1836, 63, 30, 13
Kan_347_P064, 94.99, 1735, 1765, 49, 34, 4
